"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","Період","Значення cпостереження"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2022-M04","109.9"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2022-M05","113.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2022-M06","115.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2022-M07","117.9"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2022-M08","126.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2022-M09","131.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2022-M10","134"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2022-M11","136.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2022-M12","137.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2023-M01","99.7"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2023-M02","100.8"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2023-M03","101"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2023-M04","103"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2023-M05","102.9"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2023-M06","102.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2023-M07","103.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2023-M08","103.8"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2023-M09","103.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2023-M10","101.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2023-M11","100.8"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2023-M12","99.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2024-M01","99.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2024-M02","98.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2024-M03","98.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2024-M04","97.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2024-M05","98.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2024-M06","97.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2024-M07","98.7"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2024-M08","97.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2024-M09","99.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2024-M10","99.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2024-M11","99.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2024-M12","99.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2025-M01","99.8"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2025-M02","100"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2025-M03","100.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2025-M04","100.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2025-M05","99.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2025-M06","99.9"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2025-M07","100.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2025-M08","100.7"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2025-M09","100.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Місячна","2025-M10","102.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2007-M01","101.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2007-M02","101.8"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2007-M03","102.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2007-M04","102.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2007-M05","102.7"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2007-M06","102.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2007-M07","102.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2007-M08","102.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2007-M09","102.8"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2007-M10","103"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2007-M11","103.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2007-M12","104"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2008-M01","100.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2008-M02","101.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2008-M03","102.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2008-M04","103.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2008-M05","104.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2008-M06","105"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2008-M07","105.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2008-M08","106.9"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2008-M09","112.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2008-M10","115.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2008-M11","122.9"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2008-M12","132.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2009-M01","100.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2009-M02","100.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2009-M03","101.9"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2009-M04","101.7"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2009-M05","101.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2009-M06","101.8"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2009-M07","102.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2009-M08","102.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2009-M09","103"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2009-M10","103.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2009-M11","103.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2009-M12","103.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2010-M01","99.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2010-M02","99.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2010-M03","99.8"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2010-M04","100.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2010-M05","100.9"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2010-M06","101.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2010-M07","101.9"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2010-M08","113.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2010-M09","113.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2010-M10","114.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2010-M11","117.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2010-M12","117.9"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2011-M01","104.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2011-M02","106.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2011-M03","106.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2011-M04","108.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2011-M05","108.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2011-M06","108.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2011-M07","108.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2011-M08","108.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2011-M09","109.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2011-M10","109.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2011-M11","109.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2011-M12","109.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2012-M01","100.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2012-M02","100.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2012-M03","100.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2012-M04","100.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2012-M05","100.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2012-M06","100.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2012-M07","100.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2012-M08","100.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2012-M09","100.7"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2012-M10","100.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2012-M11","100.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2012-M12","100.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2013-M01","100"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2013-M02","100"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2013-M03","100"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2013-M04","100.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2013-M05","100.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2013-M06","100.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2013-M07","100.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2013-M08","100.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2013-M09","100.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2013-M10","100.7"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2013-M11","100.8"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2013-M12","101.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2014-M01","100"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2014-M02","99.9"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2014-M03","100.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2014-M04","100.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2014-M05","114.7"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2014-M06","116"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2014-M07","120.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2014-M08","122.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2014-M09","123.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2014-M10","127.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2014-M11","133.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2014-M12","134.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2015-M01","101.9"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2015-M02","102.7"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2015-M03","104.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2015-M04","230.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2015-M05","235"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2015-M06","236.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2015-M07","236.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2015-M08","236.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2015-M09","240.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2015-M10","209.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2015-M11","217.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2015-M12","217.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2016-M01","101.4"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2016-M02","101.8"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2016-M03","104.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2016-M04","125.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2016-M05","124.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2016-M06","124.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2016-M07","128.8"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2016-M08","129.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2016-M09","133"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2016-M10","145.5"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2016-M11","153.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2016-M12","153.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2017-M01","100"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2017-M02","100"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2017-M03","103.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2017-M04","104.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2017-M05","105.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2017-M06","105.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2017-M07","105.1"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2017-M08","105.2"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2017-M09","105.7"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2017-M10","106.3"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2017-M11","106.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2017-M12","106.6"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2018-M01","101.7"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2018-M02","102.9"
"Індекс споживчих цін","До грудня попереднього року","Сумська","Житло, вода, електроенергія, газ та інші види палива","Місячна","2018-M03","102.8"
